name,population,HDIRank,GNI,lifeExpectancy,povertyPercent,popUrbanPercent,cleanWaterAccess,averageSchooling,electricityAccessRuralPop,electricityAccessTotalPop
Netherlands,17.1,10,50013,82.1,No Current Info,91.5,100,12.2,100,100
Netherlands Antilles,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
New Caledonia,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
New Zealand,4.7,14,35108,82.1,No Current Info,86.5,100,12.7,100,100
Nicaragua,6.5,126,4790,74.3,16.26317948,58.5,82,6.8,55.98073636,81.16313934
Niger,22.4,189,912,62,90.47073722,16.4,50,2,7.1,16.6
Nigeria,195.9,158,5086,54.3,51.43121481,50.3,71,6.5,32.8,52.5
Niue,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
North Macedonia,2.1,82,12874,75.7,2.53277048,58,93,9.7,No Current Info,No Current Info
Northern Mariana Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Norway,5.3,1,68059,82.3,No Current Info,82.2,100,12.6,100,100
Oman,4.8,47,37039,77.6,No Current Info,84.5,92,9.7,100,100
Pakistan,212.2,152,5190,67.1,38.33213151,36.7,91,5.2,90.37,93.5
Palau,0,55,16720,73.7,No Current Info,79.9,100,12.4,96.74203363,99.16146088
Palestine, State of,4.9,119,5314,73.9,0.95522478,76.2,No Current Info,9.1,No Current Info,No Current Info
Panama,4.2,67,20455,78.3,No Current Info,67.7,96,10.2,79.26983554,92.55484009
Papua New Guinea,8.6,155,3686,64.3,No Current Info,13.2,41,4.6,14.73404409,22.18893433
Paraguay,7,98,11720,74.1,4.50074524,61.6,100,8.4,98.59416,99.331532
Peru,32,82,12323,76.5,12.65982389,77.9,91,9.2,77.92171,93.852179
Philippines,106.7,106,9540,71.1,5.79598173,46.9,94,9.4,85.12,89.08
Poland,37.9,32,27626,78.5,No Current Info,60.1,100,12.3,100,100
Portugal,10.3,40,27935,81.9,No Current Info,65.2,100,9.2,100,100
Puerto Rico,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Qatar,2.8,41,110489,80.1,No Current Info,99.1,100,9.7,100,100
Reunion,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Romania,19.5,52,23906,75.9,No Current Info,54,100,11,100,100
Russian Federation,145.7,49,25036,72.4,No Current Info,74.4,97,12,100,100
Rwanda,12.3,157,1959,68.7,54.42456007,17.2,58,4.4,12.4,22.8
Saint Kitts and Nevis,0.1,73,26770,74.6,No Current Info,30.8,No Current Info,8.5,No Current Info,No Current Info
Saint Lucia,0.2,89,11528,76.1,1.92113109,18.7,98,8.5,No Current Info,No Current Info
Saint Pierre et Miquelon,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Saint Vincent and the Grenadines,0.1,94,11746,72.4,No Current Info,52.2,95,8.6,No Current Info,No Current Info
Samoa,0.2,111,5885,73.2,No Current Info,18.2,97,10.6,100,99.9382782
San Marino,0,No Current Info,No Current Info,No Current Info,No Current Info,97.2,100,No Current Info,100,100
Sao Tome and Principe,0.2,137,3024,70.2,22.06107229,72.8,84,6.4,49.91065555,64.51014709
Saudi Arabia,33.7,36,49338,75,No Current Info,83.8,100,9.7,100,100
Senegal,15.9,166,3256,67.7,53.17117572,47.2,81,3.1,31.8,60.5
Serbia,8.8,63,15218,75.8,0.33901869,56.1,86,11.2,99.96153479,99.98274231
Seychelles,0.1,62,25077,73.3,No Current Info,56.7,96,9.7,99.83879587,99.67832184
Sierra Leone,7.7,181,1381,54.3,57.93045163,42.1,61,3.6,No Current Info,16.46837616
Singapore,5.8,9,83793,83.5,No Current Info,100,100,11.5,No Current Info,100
Sint Maarten (Dutch part),No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
Slovak Republic,5.5,36,30672,77.4,No Current Info,53.7,100,12.6,100,100
Slovenia,2.1,24,32143,81.2,No Current Info,54.5,100,12.3,100,100
Solomon Islands,0.7,153,2027,72.8,No Current Info,23.7,68,5.5,52.6,55.1
Somalia,15,No Current Info,No Current Info,57.1,No Current Info,45,52,No Current Info,10.84334807,28.29240417
South Africa,57.8,113,11756,63.9,6.25688136,66.4,93,10.2,72.8518332,85.5
South Sudan,11,186,1455,57.6,91.86288714,19.6,41,4.8,5.058768381,7.935427666
Spain,46.7,25,35041,83.4,No Current Info,80.3,100,9.8,100,100
Sri Lanka,21.2,71,11611,76.8,No Current Info,18.5,89,11.1,92.58596244,93.88990021
St. Helena,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
St. Kitts and Nevis,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,99.90218378,99.93001556
St. Lucia,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,97.67428401,97.16307831
St. Martin (French part),No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,70.75880432
St. Vincent and the Grenadines,41.8,168,3962,65.1,No Current Info,34.6,60,3.7,100,99.45506287
Sudan,0.6,98,11933,71.6,52.32804418,66.1,95,9.1,21.71871119,38.00915527
Suriname,10,8,47955,82.7,9.38313231,87.4,100,12.4,70.84483825,87.74467468
Swaziland,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,58.17949558,62.99454498
Sweden,8.5,2,59375,83.6,No Current Info,73.8,100,13.4,100,100
Switzerland,16.9,154,2725,71.8,No Current Info,54.2,97,5.1,100,100
Syrian Arab Republic,9.1,125,3482,70.9,7.39176422,27.1,81,10.7,99.14160304,99.63652039
Taiwan, China,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Tajikistan,56.3,159,2805,65,7.44460598,33.8,57,6,99.99638422,99.9973526
Tanzania,69.4,77,16129,76.9,No Current Info,49.9,100,7.7,9,18.5
Thailand,1.3,131,7527,69.3,0.78543229,30.6,78,4.5,99.5,99.6
Timor-Leste,7.9,167,1593,60.8,45.81842124,41.7,65,5,56.02560386,67.28153394
Togo,0.1,105,5783,70.8,48.15325737,23.1,100,11.2,18.60855415,45.02854538
Tonga,1.4,63,28497,73.4,No Current Info,53.2,98,11,95.51814909,96.17545319
Trinidad and Tobago,11.6,91,10677,76.5,0.63656066,68.9,96,7.2,100,100
Tunisia,82.3,59,24905,77.4,1.32368356,75.1,99,7.7,100,100
Turkey,5.9,108,16407,68.1,#N/A,51.6,99,9.8,100,100
Turkmenistan,0,No Current Info,5409,No Current Info,0.40319161,62.4,99,No Current Info,100,100
Turks and Caicos Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,41.5379174,95.43219757
Tuvalu,42.7,159,1752,63,No Current Info,23.8,49,6.1,97.78331274,99.0326767
Uganda,44.2,88,7994,72,55.09198904,69.4,94,11.3,9,18.5
Ukraine,9.6,35,66912,77.8,0.23974981,86.5,98,11,100,100
United Arab Emirates,67.1,15,39507,81.2,No Current Info,83.4,100,13,100,100
United Kingdom,327.1,15,56140,78.9,No Current Info,82.3,99,13.4,100,100
United States,3.4,57,19435,77.8,No Current Info,95.3,99,8.7,100,100
Uruguay,32.5,108,6462,71.6,No Current Info,50.5,98,11.5,97.947709,99.70948
Uzbekistan,0.3,141,2808,70.3,No Current Info,25.3,91,6.8,100,100
Vanuatu,28.9,96,9070,72.1,38.76277208,88.2,96,10.3,28.95500681,44.66961288
Venezuela, RB,95.5,118,6220,75.3,No Current Info,35.9,95,8.2,95.1020808,99.46073914
Vietnam,28.5,177,1433,66.1,No Current Info,36.6,63,3.2,100,100
Virgin Islands (U.S.),No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Wallis and Futuna,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
West Bank and Gaza,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100,100
Western Sahara,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Yemen, Rep.,17.4,143,3582,63.5,No Current Info,43.5,60,7.1,56.06463225,70.21390533
Zambia,14.4,150,2661,61.2,53.24372053,32.2,64,8.3,3.7,31.1
Zimbabwe,No Current Info,No Current Info,No Current Info,No Current Info,31.80216551,No Current Info,No Current Info,No Current Info,9.7,33.7
